Material at Origin,Land Use at Origin,Size,"Suppressed 
by",Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Suspected Ignition Cause,Equipment Facility Failure,Contact From Object,Contributing Factor,Suppressed by,"Voltage
(Volts)",Fire Size,Fire Suppressed by,Nominal Voltage
Vegetation,Herbaceous,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Hardwood Forest,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Other,Urban,<3 meters of linear travel,Fire Agency,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Balloon,,,,,,
Vegetation,Urban,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Urban,<0.25,Fire Agency,12000,Pole,Overhead,Y,Vandalism,,,,,,,,
Vegetation,Herbaceous,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Wire-to-wire contact,,,,,,,,
Other,Urban,<0.25,Fire Agency,0-750,,Overhead,N,Unknown,,,,,,,,
Other,Urban,<3 meters of linear travel,Fire Agency,0-750,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Urban,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Hardwood Woodland,<0.25,Cal Fire,0-750,Service Drop,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Herbaceous,<0.25,Cal Fire,0-750,Service Drop,Overhead,N,Contact from Object,,Vegetation,,,,,,
Building,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Herbaceous,<0.25,Cal Fire,12000,Recloser,Overhead,Y,Contact from Object,,Nest,,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Conifer Woodland,0.26-9.99,Cal Fire,12000,Pole,Overhead,Y,Contact from Object,,Vehicle,,,,,,
